feature,Adult_mean,Juvenile_mean,Adult_std,Juvenile_std,mean_diff,bootstrap_mean_diff,bootstrap_lo,bootstrap_hi,test_stat,pvalue,test,cohen_d,cliff_delta,p_adj,p_reject,cohen_d_mag
mfcc_1,-123.4043825442324,-61.551879071518776,47.21390151212164,55.19018827541813,-61.85250347271363,-61.8809318266456,-64.4316944391206,-59.36029526030497,2287069.5,0.0,Mann-Whitney U,-1.2376950010129621,-0.6115974628082331,0.0,True,large
mfcc_10,10.14840648872089,14.607076022177935,3.9708708301583626,3.85403305409739,-4.458669533457046,-4.457681670678501,-4.642312202526179,-4.271641530308123,2483503.0,0.0,Mann-Whitney U,-1.1336897075962051,-0.5782380612730114,0.0,True,large
mfcc_11,-3.2260913152292576,0.19246639160608234,4.607942104499718,3.758124778610794,-3.41855770683534,-3.4176172479694684,-3.607839815808272,-3.2232560698047785,3274516.5,3.543283151004106e-209,Mann-Whitney U,-0.7863785240906935,-0.4439038618300387,7.795222932209033e-209,True,medium
mfcc_12,-2.0999437098042177,-0.5865443169125744,3.8047056261068923,3.9516845997496484,-1.5133993928916434,-1.5123409052856163,-1.702962127036834,-1.318352419789858,4509102.0,1.2248026848476764e-59,Mann-Whitney U,-0.39272428970962153,-0.2342398614224577,1.684103691665555e-59,True,small
mfcc_13,0.45230240189316595,0.6558127507819639,3.0905192428559993,3.814558857358303,-0.20351034888879793,-0.20186866477345775,-0.3776170807684717,-0.0187876416257561,5566396.0,0.00014339995333255404,Mann-Whitney U,-0.060828850628680924,-0.054684464370626996,0.00015022852253886613,True,negligible
mfcc_2,166.3578961898869,163.07153143882752,13.501845014438034,12.954079383259941,3.2863647510593808,3.2921664392995718,2.6511178219607516,3.929046373662337,6495145.0,7.809292129352295e-13,Mann-Whitney U,0.24664187652050665,0.10304072413558861,9.0423382550395e-13,True,small
mfcc_3,-15.256881251159106,-26.584614463392644,11.337328736517836,9.559460673922683,11.327733212233538,11.333275684982342,10.853936961571693,11.819891548128018,9353298.0,0.0,Mann-Whitney U,1.0502418214282223,0.588427756266558,0.0,True,large
mfcc_4,10.98196331394642,17.716192555241285,11.471899196082996,6.245962943991688,-6.734229241294866,-6.734829747211224,-7.156114071649419,-6.31458846382923,3862561.5,1.8445585087903575e-126,Mann-Whitney U,-0.6694295066420706,-0.3440388730385164,3.381690599448989e-126,True,medium
mfcc_5,11.237050871918036,18.243150163218377,8.595119608604088,6.413969012885546,-7.006099291300341,-7.003781696310832,-7.352447763434705,-6.652421834701795,3001661.5,1.1608944521179042e-254,Mann-Whitney U,-0.8818107937362503,-0.4902415766591943,2.837741994065988e-254,True,large
mfcc_6,13.564221599081007,23.905765732526778,8.069724485392497,5.2926015316594555,-10.34154413344577,-10.33701433144201,-10.651806322551518,-10.022270718973077,1629124.5,0.0,Mann-Whitney U,-1.4214093553179763,-0.7233332484206236,0.0,True,large
mfcc_7,-2.628648322172955,4.490496118103814,7.418113688094812,6.053556541808246,-7.119144440276769,-7.1136353327828745,-7.434499131810702,-6.794584185593821,2553130.0,0.0,Mann-Whitney U,-1.0171100758223963,-0.5664136267916582,0.0,True,large
