feature,Male_mean,Female_mean,Male_std,Female_std,mean_diff,bootstrap_mean_diff,bootstrap_lo,bootstrap_hi,test_stat,pvalue,test,cohen_d,cliff_delta,p_adj,p_reject,cohen_d_mag
mfcc_1,-115.47348473335519,-84.27244560496304,58.81145481621786,50.697438627362516,-31.201039128392154,-31.19678187285915,-33.619812146974226,-28.67086794811242,4010635.0,3.1705805680790615e-160,Mann-Whitney U,-0.5598310738118847,-0.3723723230284109,7.750308055304373e-160,True,medium
mfcc_10,11.35602418594578,12.001287059598956,4.6238041636772245,4.162065224613765,-0.6452628736531771,-0.6454123679114748,-0.8419435858050222,-0.4406197668583907,5875429.0,5.400146190239171e-09,Mann-Whitney U,-0.1451233999148605,-0.08054912638983436,6.600178676958986e-09,True,negligible
mfcc_11,-2.6674778775633223,-1.2540522510042929,4.744564055258193,4.322754385099908,-1.4134256265590295,-1.4142359818971733,-1.6352705279213617,-1.2132420257410537,5300011.5,4.4821130474644795e-35,Mann-Whitney U,-0.30848575693623614,-0.17059669960799043,7.043320503158468e-35,True,small
mfcc_12,-1.9657550523429412,-1.0560295875566903,3.852566970628027,3.9614977228141126,-0.9097254647862509,-0.9092780227129342,-1.0991145460828153,-0.7340811241230588,5592738.0,1.5862596722458645e-19,Mann-Whitney U,-0.23349279193022054,-0.12478768104035116,2.1811070493380636e-19,True,small
mfcc_13,0.2783381198267481,0.8857507120277772,3.182990187342625,3.557228303399753,-0.6074125922010292,-0.6080060971759663,-0.7713451201638966,-0.4522968880640137,5623050.0,3.4664986196291993e-18,Mann-Whitney U,-0.1820489409365784,-0.12004413041947372,4.486057037167199e-18,True,negligible
mfcc_2,162.050443620078,170.18948662067282,13.695900752028322,11.340330380111311,-8.139043000594825,-8.136593974791584,-8.697068742493425,-7.5653632346353605,3906467.5,2.2339309900386236e-174,Mann-Whitney U,-0.6352164890022505,-0.3886735835622012,7.020925968692817e-174,True,medium
mfcc_3,-20.281072486876084,-17.008749529574196,12.934256087591928,10.210997709403603,-3.2723229573018884,-3.2726102912600465,-3.8031919062401456,-2.7615965954436,5421099.0,4.55406111364591e-28,Mann-Whitney U,-0.27433571550076924,-0.15164761390577686,6.679289633347335e-28,True,small
mfcc_4,9.46284059171413,18.865054021590744,11.118701094473296,6.257316530563768,-9.402213429876614,-9.403987934367535,-9.790310876905291,-9.007379844858601,3060829.5,0.0,Mann-Whitney U,-0.9905143801138772,-0.5210081922959555,0.0,True,large
mfcc_5,11.77682903308272,16.22021647671944,9.152719342414226,6.863992463463395,-4.44338744363672,-4.447589147491993,-4.805418273842061,-4.087660704576165,4508045.0,5.535348448577812e-101,Mann-Whitney U,-0.5340527427308641,-0.2945322097290361,1.1070696897155624e-100,True,medium
mfcc_6,16.88223088224084,17.07920056001508,8.868217020814226,8.563031191138675,-0.19696967777424135,-0.20082549160828306,-0.6105645698676325,0.2124394885698113,6378869.0,0.898256392933072,Mann-Whitney U,-0.02251499440006753,-0.0017653732697980485,0.898256392933072,False,negligible
